COURSE TITLE,COURSE CODE2,R1 POINTS,R2 POINTS,CATEGORY (i.e.ISCED description),HEI
Environmental Science and Technology,DC166,433,399,Environment,Dublin City University
Genetics and Cell Biology,DC168,512,510,Biological and related sciences,Dublin City University
Physics General Entry (options),DC175,419,402,Physical sciences,Dublin City University
Biotechnology,DC181,499,495,Biological and related sciences,Dublin City University
Electronic and Computer Engineering (with choice of four majors),DC190,413,,Engineering and engineering trades,Dublin City University
Mechatronic Engineering,DC193,411,,Engineering and engineering trades,Dublin City University
Mechanical and Manufacturing Engineering,DC195,425,,Engineering and engineering trades,Dublin City University
Biomedical Engineering,DC197,423,,Health,Dublin City University
Common Entry into Engineering (Undenominated Entry),DC200,422,,Engineering and engineering trades,Dublin City University
Common Entry into Science (Undenominated Entry),DC201,498,488,Biological and related sciences,Dublin City University
Sport Science and Health,DC202,500,498,Health,Dublin City University
Science Education,DC203,435,,Education,Dublin City University
Athletic Therapy and Training,DC204,522,519,Health,Dublin City University
Physical Education with Biology,DC205,531,,Education,Dublin City University
Physical Education with Mathematics,DC206,499,,Education,Dublin City University
Psychology,DC208,532,521,Social and behavioural sciences,Dublin City University
Health and Society,DC209,465,440,Health,Dublin City University
General Nursing,DC215,454,433,Health,Dublin City University
Mental Health Nursing,DC216,418,403,Health,Dublin City University
Intellectual Disability Nursing,DC217,370,,Health,Dublin City University
Children`s and General Nursing (Integrated),DC218,500,498,Health,Dublin City University
"Economics, Politics and Law",DC230,435,,Social and behavioural sciences,Dublin City University
International Relations,DC231,397,,Social and behavioural sciences,Dublin City University
Law and Society (BCL),DC232,466,,Law,Dublin City University
Education and Training - Daytime and Flexible Delivery Mode (full-time),DC235,309,,Education,Dublin City University
Social Sciences and Cultural Innovation,DC238,377,,Humanities (except languages),Dublin City University
"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",DC239,430,,Journalism and information,Dublin City University
"Marketing, Innovation and Technology",DC240,476,474,Business and administration,Dublin City University
Arts (Joint Honours) - Media Studies,DC291,376,,Arts,Dublin City University
Arts (Joint Honours) - Law,DC292,403,,Arts,Dublin City University
Arts (Joint Honours) - International Languages,DC293,377,,Arts,Dublin City University
Arts (Joint Honours) - Politics,DC295,376,,Arts,Dublin City University
Business and Management,DK710,120,120,Business and administration,Dundalk Institute of Technology
Business and Technology,DK711,191,,Business and administration,Dundalk Institute of Technology
Digital Marketing and Public Relations,DK712,100,100,Business and administration,Dundalk Institute of Technology
Computing,DK721,106,106,Information and Communication Technologies (ICTs),Dundalk Institute of Technology
Augmented and Virtual Reality,DK722,144,144,Information and Communication Technologies (ICTs),Dundalk Institute of Technology
Building Surveying,DK730,165,,Architecture and construction,Dundalk Institute of Technology
Architectural Technology,DK731,332,,Architecture and construction,Dundalk Institute of Technology
Construction Management,DK732,120,,Architecture and construction,Dundalk Institute of Technology
Engineering - Electrical and Electronic Systems,DK740,179,179,Engineering and engineering trades,Dundalk Institute of Technology
Engineering - Mechanical Engineering,DK742,166,166,Engineering and engineering trades,Dundalk Institute of Technology
Engineering - Civil Engineering,DK744,190,157,Architecture and construction,Dundalk Institute of Technology
Hospitality Management,DK750,176,176,Personal services,Dundalk Institute of Technology
Event Management,DK752,175,175,Personal services,Dundalk Institute of Technology
Culinary Arts,DK753,182,182,Personal services,Dundalk Institute of Technology
"Sport, Exercise and Enterprise",DK763,233,,Personal services,Dundalk Institute of Technology
Community Youth Work (interview),DK767,240,240,Welfare,Dundalk Institute of Technology
Audio and Music Production,DK768,261,,Arts,Dundalk Institute of Technology
Creative Media,DK769,165,165,Arts,Dundalk Institute of Technology
Theatre & Film Practice,DK770,190,190,Arts,Dundalk Institute of Technology
Musical Theatre (audition),DK771,,,Arts,Dundalk Institute of Technology
Science - Bioscience,DK781,358,328,Biological and related sciences,Dundalk Institute of Technology
Science - Pharmaceutical Science,DK783,349,317,Biological and related sciences,Dundalk Institute of Technology
Veterinary Nursing,DK784,399,,Veterinary,Dundalk Institute of Technology
Accounting and Finance,DK810,305,305,Business and administration,Dundalk Institute of Technology
Business Studies,DK816,300,300,Business and administration,Dundalk Institute of Technology
Computing in Games Development,DK820,311,311,Information and Communication Technologies (ICTs),Dundalk Institute of Technology
Computing in Software Development,DK821,302,302,Information and Communication Technologies (ICTs),Dundalk Institute of Technology
Augmented and Virtual Reality,DK822,307,,Information and Communication Technologies (ICTs),Dundalk Institute of Technology
Building Surveying,DK830,336,,Architecture and construction,Dundalk Institute of Technology
Architectural Technology,DK831,389,,Architecture and construction,Dundalk Institute of Technology
Construction Management,DK832,387,,Architecture and construction,Dundalk Institute of Technology
Engineering (Common Entry),DK843,340,340,Engineering and engineering trades,Dundalk Institute of Technology
Mechanical Engineering,DK844,305,305,Engineering and engineering trades,Dundalk Institute of Technology
Electrical & Electronic Engineering,DK845,304,304,Engineering and engineering trades,Dundalk Institute of Technology
Civil Engineering,DK846,391,361,Architecture and construction,Dundalk Institute of Technology
International Tourism Management,DK850,317,317,Personal services,Dundalk Institute of Technology
Music (audition),DK860,532,532,Arts,Dundalk Institute of Technology
Arts,DK861,302,302,Social and behavioural sciences,Dundalk Institute of Technology
Social Care,DK862,301,,Welfare,Dundalk Institute of Technology
Creative Media,DK863,308,308,Arts,Dundalk Institute of Technology
Film and Television Production,DK864,300,300,Arts,Dundalk Institute of Technology
Audio and Music Production,DK865,301,,Arts,Dundalk Institute of Technology
General Nursing,DK870,403,401,Health,Dundalk Institute of Technology
Intellectual Disability Nursing,DK872,336,,Health,Dundalk Institute of Technology
Mental Health Nursing,DK874,356,,Health,Dundalk Institute of Technology
Early Childhood Studies,DK876,321,,Welfare,Dundalk Institute of Technology
Midwifery,DK877,440,,Health,Dundalk Institute of Technology
Health and Physical Activity,DK880,328,,Health,Dundalk Institute of Technology
Agriculture (Award options),DK882,310,,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Dundalk Institute of Technology
Science (Award options),DK883,358,321,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Dundalk Institute of Technology
Sustainable Agriculture,DK884,,,Agriculture,Dundalk Institute of Technology
Agri-Food Production,DK885,,,Manufacturing and processing,Dundalk Institute of Technology
Biopharmaceutical Science,DK886,301,,Manufacturing and processing,Dundalk Institute of Technology
Environmental Science,DK887,330,,Environment,Dundalk Institute of Technology
Business - Applied Entrepreneurship,DL701,AQA,AQA,Business and administration,"Dun Laoghaire Institute of Art, Design and Technology"
"English, Media and Cultural Studies",DL821,212,212,Humanities (except languages),"Dun Laoghaire Institute of Art, Design and Technology"
Arts Management,DL822,229,229,Business and administration,"Dun Laoghaire Institute of Art, Design and Technology"
Business Management,DL823,235,,Business and administration,"Dun Laoghaire Institute of Art, Design and Technology"
Applied Psychology,DL825,379,,Social and behavioural sciences,"Dun Laoghaire Institute of Art, Design and Technology"
Visual Communication Design,DL826,855,,Arts,"Dun Laoghaire Institute of Art, Design and Technology"
Art,DL827,572,,Arts,"Dun Laoghaire Institute of Art, Design and Technology"
"3D Design, Modelmaking and Digital Art",DL828,506,,Arts,"Dun Laoghaire Institute of Art, Design and Technology"
Design for Stage and Screen (Costume Design),DL829,593,,Arts,"Dun Laoghaire Institute of Art, Design and Technology"
Design for Stage and Screen (Character Makeup Design),DL830,939,,Arts,"Dun Laoghaire Institute of Art, Design and Technology"
Design for Stage and Screen (Production Design),DL831,781,,Arts,"Dun Laoghaire Institute of Art, Design and Technology"
Animation,DL832,920,,Arts,"Dun Laoghaire Institute of Art, Design and Technology"
Photography,DL833,650,,Arts,"Dun Laoghaire Institute of Art, Design and Technology"
Film and Television Production,DL834,990,,Arts,"Dun Laoghaire Institute of Art, Design and Technology"
Creative Computing,DL836,219,,Information and Communication Technologies (ICTs),"Dun Laoghaire Institute of Art, Design and Technology"
New Media Studies,DL837,201,,Humanities (except languages),"Dun Laoghaire Institute of Art, Design and Technology"
Creative Music Production,DL838,754,,Arts,"Dun Laoghaire Institute of Art, Design and Technology"
Interaction and User Experience Design,DL839,683,683,Information and Communication Technologies (ICTs),"Dun Laoghaire Institute of Art, Design and Technology"
Digital Marketing,DL840,228,228,Business and administration,"Dun Laoghaire Institute of Art, Design and Technology"
English and Equality Studies,DL841,276,,Arts,"Dun Laoghaire Institute of Art, Design and Technology"
Architecture,DN100,510,,Architecture and construction,University College Dublin (NUI)
Landscape Architecture,DN120,407,,Architecture and construction,University College Dublin (NUI)
City Planning and Environmental Policy,DN130,407,400,Architecture and construction,University College Dublin (NUI)
Engineering (Common Entry),DN150,531,521,Engineering and engineering trades,University College Dublin (NUI)
Science (options),DN200,533,,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",University College Dublin (NUI)
Computer Science (Common Entry),DN201,510,,Information and Communication Technologies (ICTs),University College Dublin (NUI)
Actuarial and Financial Studies,DN230,601,,Mathematics and statistics,University College Dublin (NUI)
Sustainability,DN240,440,,Environment,University College Dublin (NUI)
Agricultural Science (options),DN250,456,455,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",University College Dublin (NUI)
Dairy Business,DN252,410,,Agriculture,University College Dublin (NUI)
Agri - Environmental Sciences,DN253,418,,Environment,University College Dublin (NUI)
Food Science,DN261,477,,Agriculture,University College Dublin (NUI)
Human Nutrition,DN262,531,,Health,University College Dublin (NUI)
Forestry,DN271,311,,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",University College Dublin (NUI)
"Horticulture, Landscape and Sportsturf Management",DN272,297,282,Agriculture,University College Dublin (NUI)
Veterinary Medicine - Undergraduate Entry,DN300,589,,Veterinary,University College Dublin (NUI)
Veterinary Medicine - Graduate Entry (GAMSAT required),DN301,,,Veterinary,University College Dublin (NUI)
Veterinary Nursing,DN310,478,477,Veterinary,University College Dublin (NUI)
Medicine - Undergraduate Entry (HPAT required),DN400,737,736,Health,University College Dublin (NUI)
Medicine - Graduate Entry (GAMSAT required),DN401,,,Health,University College Dublin (NUI)
Radiography,DN410,534,532,Health,University College Dublin (NUI)
Radiography - Graduate Entry,DN411,,,Health,University College Dublin (NUI)
Physiotherapy,DN420,578,577,Health,University College Dublin (NUI)
Health and Performance Science,DN425,510,509,Health,University College Dublin (NUI)
Sport and Exercise Management,DN430,455,445,Business and administration,University College Dublin (NUI)
"Biomedical, Health and Life Sciences",DN440,590,589,Biological and related sciences,University College Dublin (NUI)
General Nursing,DN450,429,424,Health,University College Dublin (NUI)
Children`s and General Nursing (Integrated),DN451,509,506,Health,University College Dublin (NUI)
Midwifery,DN452,489,476,Health,University College Dublin (NUI)
Mental Health Nursing,DN453,397,393,Health,University College Dublin (NUI)
Joint Honours (options),DN520,310,,Arts,University College Dublin (NUI)
Humanities (options),DN530,340,336,Humanities (except languages),University College Dublin (NUI)
Modern Languages (options),DN541,303,,Languages,University College Dublin (NUI)
Law (options),DN600,546,544,Law,University College Dublin (NUI)
Business and Law,DN610,545,,Business and administration,University College Dublin (NUI)
Commerce,DN650,521,521,Business and administration,University College Dublin (NUI)
Commerce International (options),DN660,517,511,Business and administration,University College Dublin (NUI)
Economics and Finance,DN670,613,,Business and administration,University College Dublin (NUI)
Social Sciences (options),DN700,421,419,Social and behavioural sciences,University College Dublin (NUI)
Economics,DN710,498,498,Social and behavioural sciences,University College Dublin (NUI)
Psychology,DN720,530,522,Social and behavioural sciences,University College Dublin (NUI)
Social Policy and Sociology,DN750,378,,Social and behavioural sciences,University College Dublin (NUI)
Computing and Multimedia (Level 6 - Higher Certificate),DS602,,,Information and Communication Technologies (ICTs),Dorset College
Computing and Multimedia (Level 6 - Certificate),DS603,,,Information and Communication Technologies (ICTs),Dorset College
Business,DS701,,,Business and administration,Dorset College
Computing and Multimedia (Level 7),DS702,,,Information and Communication Technologies (ICTs),Dorset College
Business,GA160,163,163,Business and administration,Galway-Mayo Institute of Technology
Business,GA170,250,,Business and administration,Galway-Mayo Institute of Technology
Business Information Systems,GA171,250,,Information and Communication Technologies (ICTs),Galway-Mayo Institute of Technology
Rural Enterprise and Agri-Business,GA172,277,,Agriculture,Galway-Mayo Institute of Technology
Marketing and Sales,GA174,281,,Business and administration,Galway-Mayo Institute of Technology
Finance,GA175,278,,Business and administration,Galway-Mayo Institute of Technology
Business with Entrepreneurship,GA176,278,,Business and administration,Galway-Mayo Institute of Technology
Accounting,GA181,309,,Business and administration,Galway-Mayo Institute of Technology
Business,GA182,287,,Business and administration,Galway-Mayo Institute of Technology
Business Information Systems,GA183,296,,Information and Communication Technologies (ICTs),Galway-Mayo Institute of Technology
Marketing and Sales,GA184,307,,Business and administration,Galway-Mayo Institute of Technology
Finance and Economics,GA185,293,,Business and administration,Galway-Mayo Institute of Technology
Business with Entrepreneurship,GA186,280,,Business and administration,Galway-Mayo Institute of Technology
Rural Enterprise and Agri-Business,GA187,281,,Agriculture,Galway-Mayo Institute of Technology
Heritage Studies,GA272,188,188,Social and behavioural sciences,Galway-Mayo Institute of Technology
Contemporary Art,GA273,702,,Arts,Galway-Mayo Institute of Technology
Design,GA274,251,,Arts,Galway-Mayo Institute of Technology
Film and Documentary,GA281,304,,Arts,Galway-Mayo Institute of Technology
Heritage Studies,GA282,220,,Social and behavioural sciences,Galway-Mayo Institute of Technology
Contemporary Art,GA283,679,,Arts,Galway-Mayo Institute of Technology
Design,GA284,303,,Arts,Galway-Mayo Institute of Technology
"Education (Art, Design and Graphics)",GA285,,,Education,Galway-Mayo Institute of Technology
Business in Tourism,GA360,172,172,Personal services,Galway-Mayo Institute of Technology
Culinary Arts,GA361,193,,Personal services,Galway-Mayo Institute of Technology
Hotel and Hospitality Operations,GA362,240,228,Personal services,Galway-Mayo Institute of Technology
Heritage Studies,GA364,252,252,Social and behavioural sciences,Galway-Mayo Institute of Technology
Hotel and Catering Management,GA370,198,,Personal services,Galway-Mayo Institute of Technology
Event Management with Public Relations,GA376,206,187,Personal services,Galway-Mayo Institute of Technology
International Tourism Management,GA377,172,,Personal services,Galway-Mayo Institute of Technology
Culinary and Gastronomic Science,GA378,219,,Manufacturing and processing,Galway-Mayo Institute of Technology
International Hotel Management,GA380,242,,Personal services,Galway-Mayo Institute of Technology
International Tourism Management,GA381,278,,Personal services,Galway-Mayo Institute of Technology
Culinary and Gastronomic Science,GA382,206,,Manufacturing and processing,Galway-Mayo Institute of Technology
Event Management with Public Relations,GA384,212,,Personal services,Galway-Mayo Institute of Technology
Construction Management,GA470,244,243,Architecture and construction,Galway-Mayo Institute of Technology
Quantity Surveying and Construction Economics,GA471,200,,Architecture and construction,Galway-Mayo Institute of Technology
Architectural Technology,GA472,226,,Architecture and construction,Galway-Mayo Institute of Technology
Civil Engineering,GA473,241,,Architecture and construction,Galway-Mayo Institute of Technology
Construction Management,GA480,260,,Architecture and construction,Galway-Mayo Institute of Technology
Quantity Surveying and Construction Economics,GA482,288,,Architecture and construction,Galway-Mayo Institute of Technology
Architectural Technology,GA483,265,,Architecture and construction,Galway-Mayo Institute of Technology
Civil Engineering,GA484,290,,Architecture and construction,Galway-Mayo Institute of Technology
Software and Electronic Engineering,GA570,224,,Engineering and engineering trades,Galway-Mayo Institute of Technology
Software and Electronic Engineering,GA580,300,,Engineering and engineering trades,Galway-Mayo Institute of Technology
Mechanical Engineering,GA670,265,,Engineering and engineering trades,Galway-Mayo Institute of Technology
Energy Engineering,GA673,260,,Engineering and engineering trades,Galway-Mayo Institute of Technology
Biomedical Engineering,GA674,298,,Engineering and engineering trades,Galway-Mayo Institute of Technology
Agricultural Engineering,GA675,298,,Engineering and engineering trades,Galway-Mayo Institute of Technology
Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),GA676,290,,Engineering and engineering trades,Galway-Mayo Institute of Technology
Manufacturing Engineering Design,GA677,235,,Manufacturing and processing,Galway-Mayo Institute of Technology
Mechanical Engineering,GA680,330,,Engineering and engineering trades,Galway-Mayo Institute of Technology
Energy Engineering,GA681,293,,Engineering and engineering trades,Galway-Mayo Institute of Technology
Biomedical Engineering,GA682,313,,Engineering and engineering trades,Galway-Mayo Institute of Technology
Agricultural Engineering,GA683,309,,Engineering and engineering trades,Galway-Mayo Institute of Technology
Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),GA684,340,,Engineering and engineering trades,Galway-Mayo Institute of Technology
Manufacturing Engineering Design,GA685,309,,Manufacturing and processing,Galway-Mayo Institute of Technology
Applied Freshwater and Marine Biology,GA770,280,,Biological and related sciences,Galway-Mayo Institute of Technology
Applied Biology and Biopharmaceutical Science,GA771,280,,Biological and related sciences,Galway-Mayo Institute of Technology
Chemical and Pharmaceutical Science,GA772,280,,Environment,Galway-Mayo Institute of Technology
Physics and Instrumentation,GA773,299,,Physical sciences,Galway-Mayo Institute of Technology
Science (Undenominated),GA774,289,,Biological and related sciences,Galway-Mayo Institute of Technology
Computing in Software Development,GA775,260,,Information and Communication Technologies (ICTs),Galway-Mayo Institute of Technology
Computing and Digital Media,GA776,241,,Information and Communication Technologies (ICTs),Galway-Mayo Institute of Technology
Agriculture and Environmental Management,GA777,281,,Agriculture,Galway-Mayo Institute of Technology
Applied Freshwater and Marine Biology,GA780,327,,Biological and related sciences,Galway-Mayo Institute of Technology
Applied Biology and Biopharmaceutical Science,GA781,337,,Biological and related sciences,Galway-Mayo Institute of Technology
Chemical and Pharmaceutical Science,GA782,336,,Environment,Galway-Mayo Institute of Technology
Physics and Instrumentation,GA783,363,,Physical sciences,Galway-Mayo Institute of Technology
Science (Undenominated),GA784,372,,Biological and related sciences,Galway-Mayo Institute of Technology
Medical Science,GA785,473,,Health,Galway-Mayo Institute of Technology
Forensic Science and Analysis,GA786,317,,Physical sciences,Galway-Mayo Institute of Technology
Computing in Software Development,GA787,270,,Information and Communication Technologies (ICTs),Galway-Mayo Institute of Technology
Computing and Digital Media,GA788,274,,Information and Communication Technologies (ICTs),Galway-Mayo Institute of Technology
Agriculture and Environmental Management,GA789,287,,Agriculture,Galway-Mayo Institute of Technology
Sport and Exercise Science,GA790,356,,Personal services,Galway-Mayo Institute of Technology
Public Health Nutrition,GA791,368,,Biological and related sciences,Galway-Mayo Institute of Technology
History & Geography,GA862,178,,Humanities (except languages),Galway-Mayo Institute of Technology
Early Childhood Education and Care,GA864,214,204,Education,Galway-Mayo Institute of Technology
Outdoor Education and Leisure,GA870,182,171,Personal services,Galway-Mayo Institute of Technology
Early Childhood Education and Care,GA871,190,,Education,Galway-Mayo Institute of Technology
Culture and Environment,GA872,196,,Social and behavioural sciences,Galway-Mayo Institute of Technology
Applied Social Care,GA879,244,,Welfare,Galway-Mayo Institute of Technology
General Nursing,GA880,429,422,Health,Galway-Mayo Institute of Technology
Psychiatric Nursing,GA882,367,,Health,Galway-Mayo Institute of Technology
Outdoor Education,GA885,252,,Personal services,Galway-Mayo Institute of Technology
History and Geography,GA887,244,,Humanities (except languages),Galway-Mayo Institute of Technology
Applied Social Care,GA889,266,,Welfare,Galway-Mayo Institute of Technology
Early Childhood Education and Care,GA890,270,,Education,Galway-Mayo Institute of Technology
Geography and Outdoor Education,GA891,244,,Environment,Galway-Mayo Institute of Technology
"Furniture Design, Making and Technology - Common Entry",GA974,214,,Arts,Galway-Mayo Institute of Technology
Education (Design Graphics and Construction),GA980,377,,Education,Galway-Mayo Institute of Technology
"Furniture Design, Making and Technology - Common Entry",GA984,284,,Arts,Galway-Mayo Institute of Technology
Business,GB001,,,Business and administration,Galway Business School
Business Studies,GC200,252,252,Business and administration,Griffith College
Accounting and Finance,GC201,303,303,Business and administration,Griffith College
Computing Science,GC230,335,325,Information and Communication Technologies (ICTs),Griffith College
Communications and Media Production,GC250,,,Journalism and information,Griffith College
Business Studies,GC300,429,,Business and administration,Griffith College
Accounting & Finance,GC301,253,253,Business and administration,Griffith College
Business Studies - HRM,GC302,,,Business and administration,Griffith College
International Hospitality Management,GC305,253,253,Personal services,Griffith College
International Hospitality Management,GC306,253,253,Personal services,Griffith College
Computing,GC335,217,195,Information and Communication Technologies (ICTs),Griffith College
Business Studies,GC400,248,248,Business and administration,Griffith College
Accounting and Finance,GC401,240,227,Business and administration,Griffith College
Business Studies (HRM),GC402,264,236,Business and administration,Griffith College
Law,GC403,244,228,Law,Griffith College
Business Studies (Marketing),GC407,280,280,Business and administration,Griffith College
Marketing,GC410,145,,Business and administration,Griffith College
Business,GC411,135,135,Business and administration,Griffith College
Computing Science,GC430,252,220,Information and Communication Technologies (ICTs),Griffith College
Computing,GC435,AQA,AQA,Information and Communication Technologies (ICTs),Griffith College
Communications and Media Production,GC450,254,254,Journalism and information,Griffith College
Music Production for Games (portfolio),GC460,,,Arts,Griffith College
Design Communication (portfolio),GC462,,,Arts,Griffith College
Communications,GC465,AQA,,Journalism and information,Griffith College
Film and TV Production,GC466,AQA,AQA,Arts,Griffith College
Photographic Media,GC470,169,169,Arts,Griffith College
Photography,GC475,150,150,Arts,Griffith College
Interior Architecture (portfolio),GC489,254,,Arts,Griffith College
Interior Design,GC490,117,117,Arts,Griffith College
Fashion Design (portfolio),GC494,337,217,Arts,Griffith College
Fashion,GC495,129,129,Arts,Griffith College
Arts (Joint-Honours),GY101,300,,Arts,"National University of Ireland, Galway"
Arts (Psychology),GY104,523,520,Social and behavioural sciences,"National University of Ireland, Galway"
Arts (History),GY105,301,,Humanities (except languages),"National University of Ireland, Galway"
Na Dána (Gaeilge agus Léann an Aistriúcháin),GY107,409,,Languages,"National University of Ireland, Galway"
Arts (Mathematics and Education),GY109,403,,Education,"National University of Ireland, Galway"
Arts with Children`s Studies,GY110,357,,Social and behavioural sciences,"National University of Ireland, Galway"
Arts with Creative Writing,GY111,330,,Arts,"National University of Ireland, Galway"
Arts with Film Studies,GY112,321,,Arts,"National University of Ireland, Galway"
Arts with Human Rights,GY113,368,,Social and behavioural sciences,"National University of Ireland, Galway"
Arts with Performing Arts Studies,GY115,387,,Arts,"National University of Ireland, Galway"
"Arts (Drama, Theatre and Performance Studies)",GY118,451,,Arts,"National University of Ireland, Galway"
Arts (Journalism),GY119,400,,Journalism and information,"National University of Ireland, Galway"
"Arts (Child, Youth and Family: Policy and Practice)",GY120,350,,Social and behavioural sciences,"National University of Ireland, Galway"
Arts (Children`s Studies),GY121,356,,Social and behavioural sciences,"National University of Ireland, Galway"
Na Dána (Cumarsáid agus Gaeilge),GY122,361,,Arts,"National University of Ireland, Galway"
Applied Social Sciences,GY123,358,,Social and behavioural sciences,"National University of Ireland, Galway"
Arts (Arts with Data Science),GY124,454,,Information and Communication Technologies (ICTs),"National University of Ireland, Galway"
Arts (Digital Arts and Technology),GY125,328,,Arts,"National University of Ireland, Galway"
Arts (English and Media Studies),GY126,391,,Languages,"National University of Ireland, Galway"
Arts (Film and Digital Media),GY127,401,,Arts,"National University of Ireland, Galway"
Arts (Global Languages),GY128,352,,Languages,"National University of Ireland, Galway"
Arts (International),GY129,420,,Arts,"National University of Ireland, Galway"
Arts (Music),GY130,408,,Arts,"National University of Ireland, Galway"
Arts (History and Globalisation Studies),GY131,360,,Humanities (except languages),"National University of Ireland, Galway"
"Government (Politics, Economics and Law)",GY132,407,,Social and behavioural sciences,"National University of Ireland, Galway"
Education (Computer Science and Mathematical Studies),GY133,422,,Education,"National University of Ireland, Galway"
Geography and Geosystems,GY134,410,,Physical sciences,"National University of Ireland, Galway"
Commerce,GY201,433,,Business and administration,"National University of Ireland, Galway"
Commerce (International) with French,GY202,484,,Business and administration,"National University of Ireland, Galway"
Commerce (International) with German,GY203,489,,Business and administration,"National University of Ireland, Galway"
Commerce (International) with Spanish,GY204,495,,Business and administration,"National University of Ireland, Galway"
Business Information Systems (Work Placement & Optional Int`l Study),GY206,465,,Business and administration,"National University of Ireland, Galway"
Commerce (Accounting) including optional Global Experience year,GY207,509,,Business and administration,"National University of Ireland, Galway"
Commerce (Gaeilge),GY208,473,,Business and administration,"National University of Ireland, Galway"
Commerce (Global Experience),GY209,530,,Business and administration,"National University of Ireland, Galway"
Law and Business,GY250,487,,Law,"National University of Ireland, Galway"
Law (BCL),GY251,499,,Law,"National University of Ireland, Galway"
Law (BCL) and Human Rights,GY252,520,,Law,"National University of Ireland, Galway"
Law and Taxation,GY253,509,,Law,"National University of Ireland, Galway"
"Law (BCL), Criminology and Criminal Justice",GY254,530,,Law,"National University of Ireland, Galway"
"Business Studies (International Hotel Management, interview)",GY261,497,,Business and administration,"National University of Ireland, Galway"
"Commerce (International Hotel Management, interview)",GY262,681,,Business and administration,"National University of Ireland, Galway"
Science,GY301,433,432,Biological and related sciences,"National University of Ireland, Galway"
Biomedical Science,GY303,556,,Biological and related sciences,"National University of Ireland, Galway"
Biotechnology,GY304,465,,Engineering and engineering trades,"National University of Ireland, Galway"
Environmental Science,GY308,408,,Environment,"National University of Ireland, Galway"
Financial Mathematics and Economics,GY309,487,,Mathematics and statistics,"National University of Ireland, Galway"
Marine Science,GY310,419,,Physical sciences,"National University of Ireland, Galway"
Environmental Health and Safety,GY313,412,,Hygiene and occupational health services,"National University of Ireland, Galway"
Earth and Ocean Sciences,GY314,403,,Physical sciences,"National University of Ireland, Galway"
Biopharmaceutical Chemistry,GY318,509,,Biological and related sciences,"National University of Ireland, Galway"
Mathematical Science,GY319,476,,Mathematics and statistics,"National University of Ireland, Galway"
"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",GY320,402,,Physical sciences,"National University of Ireland, Galway"
Genetics and Genomics,GY321,508,,Biological and related sciences,"National University of Ireland, Galway"
Computer Science and Information Technology,GY350,403,,Information and Communication Technologies (ICTs),"National University of Ireland, Galway"
Engineering (Undenominated),GY401,465,,Engineering and engineering trades,"National University of Ireland, Galway"
Civil Engineering,GY402,455,,Architecture and construction,"National University of Ireland, Galway"
Mechanical Engineering,GY405,454,,Engineering and engineering trades,"National University of Ireland, Galway"
Electronic and Computer Engineering,GY406,510,,Engineering and engineering trades,"National University of Ireland, Galway"
Biomedical Engineering,GY408,509,,Engineering and engineering trades,"National University of Ireland, Galway"
Project and Construction Management,GY410,403,,Architecture and construction,"National University of Ireland, Galway"
Energy Systems Engineering,GY413,502,,Engineering and engineering trades,"National University of Ireland, Galway"
Electrical and Electronic Engineering,GY414,405,,Engineering and engineering trades,"National University of Ireland, Galway"
"Medicine (five year/six year course, HPAT required)",GY501,728,,Health,"National University of Ireland, Galway"
Occupational Therapy,GY502,555,,Health,"National University of Ireland, Galway"
Speech and Language Therapy,GY503,543,,Health,"National University of Ireland, Galway"
Podiatric Medicine,GY504,443,,Health,"National University of Ireland, Galway"
General Nursing (Galway and Portiuncula),GY515,476,473,Health,"National University of Ireland, Galway"
Mental Health Nursing,GY516,440,,Health,"National University of Ireland, Galway"
Midwifery,GY517,495,,Health,"National University of Ireland, Galway"
Accounting and Finance,ID001,203,,Business and administration,ICD Business School
Business Studies,ID002,294,,Business and administration,ICD Business School
"Art and Design (Common Entry, portfolio)",LC110,740,,Arts,Limerick Institute of Technology
Fashion and Textiles for Product and Costume (portfolio),LC114,880,,Arts,Limerick Institute of Technology
Art and Design Teacher Education (portfolio),LC115,942,,Education,Limerick Institute of Technology
Digital Marketing,LC220,262,,Business and administration,Limerick Institute of Technology
Accounting and Finance,LC221,241,,Business and administration,Limerick Institute of Technology
Marketing and Management,LC222,270,,Business and administration,Limerick Institute of Technology
Law and Taxation,LC223,307,,Law,Limerick Institute of Technology
Accounting and Finance,LC224,300,,Business and administration,Limerick Institute of Technology
Marketing and Management,LC225,298,,Business and administration,Limerick Institute of Technology
Enterprise and Innovation,LC226,234,234,Business and administration,Limerick Institute of Technology
Sports Development and Coaching,LC228,205,,Personal services,Limerick Institute of Technology
Business with Computing,LC230,217,,Information and Communication Technologies (ICTs),Limerick Institute of Technology
Software Development,LC233,272,,Information and Communication Technologies (ICTs),Limerick Institute of Technology
Interactive Digital Media,LC234,225,,Information and Communication Technologies (ICTs),Limerick Institute of Technology
